profit_center,document_date,posting_date,assignment,gl_account,text,doc_number,doc_type,posting_key,amount
3150,4/30/2025,4/30/2025,0000000214,5101020102,"LEBIH KLIRING SURYAPRANA NUTRISINDO, PT",100062609,SA,50,-1747858
3150,4/30/2025,4/30/2025,0000000227,5101020102,"LEBIH KLIRING MITRA MAS SENTOSA, PT",100062609,SA,50,-3596919
3150,4/30/2025,4/30/2025,0000000231,5101020102,"LEBIH KLIRING HERMED, PT",100062609,SA,50,-4312455
BX01,1/1/2025,1/1/2025,20250101,5101020102,,601006276,QA,40,4227888
BX03,1/1/2025,1/1/2025,20250101,5101020102,,601006277,QA,40,529318
BX04,1/1/2025,1/1/2025,20250101,5101020102,,601006278,QA,40,1288742
BX07,1/1/2025,1/1/2025,20250101,5101020102,,601006279,QA,40,1451323
BX08,1/1/2025,1/1/2025,20250101,5101020102,,601006280,QA,40,486650
BX09,1/1/2025,1/1/2025,20250101,5101020102,,601006281,QA,40,2309190
BX10,1/1/2025,1/1/2025,20250101,5101020102,,601006282,QA,40,1331859
BX11,1/1/2025,1/1/2025,20250101,5101020102,,601006283,QA,40,1209603
BX12,1/1/2025,1/1/2025,20250101,5101020102,,601006284,QA,40,690009
BX13,1/1/2025,1/1/2025,20250101,5101020102,,601006285,QA,40,493544
BX14,1/1/2025,1/1/2025,20250101,5101020102,,601006286,QA,40,138426
BX19,1/1/2025,1/1/2025,20250101,5101020102,,601006287,QA,40,1173632
BX20,1/1/2025,1/1/2025,20250101,5101020102,,601006288,QA,40,1357538
BX21,1/1/2025,1/1/2025,20250101,5101020102,,601006289,QA,40,714376
BX22,1/1/2025,1/1/2025,20250101,5101020102,,601006290,QA,40,209237
BX23,1/1/2025,1/1/2025,20250101,5101020102,,601006291,QA,40,116432
BX25,1/1/2025,1/1/2025,20250101,5101020102,,601006292,QA,40,378813
BX26,1/1/2025,1/1/2025,20250101,5101020102,,601006293,QA,40,295460
BX27,1/1/2025,1/1/2025,20250101,5101020102,,601006294,QA,40,1549700
BX29,1/1/2025,1/1/2025,20250101,5101020102,,601006295,QA,40,369519
BX31,1/1/2025,1/1/2025,20250101,5101020102,,601006296,QA,40,644259
BX32,1/1/2025,1/1/2025,20250101,5101020102,,601006297,QA,40,2143314
BX33,1/1/2025,1/1/2025,20250101,5101020102,,601006298,QA,40,1310771
BX34,1/1/2025,1/1/2025,20250101,5101020102,,601006299,QA,40,1155315
BX35,1/1/2025,1/1/2025,20250101,5101020102,,601006300,QA,40,293026
BX36,1/1/2025,1/1/2025,20250101,5101020102,,601006301,QA,40,513848
BX38,1/1/2025,1/1/2025,20250101,5101020102,,601006302,QA,40,412488
BX39,1/1/2025,1/1/2025,20250101,5101020102,,601006303,QA,40,179930
BX40,1/1/2025,1/1/2025,20250101,5101020102,,601006304,QA,40,503235
BX41,1/1/2025,1/1/2025,20250101,5101020102,,601006305,QA,40,526486
BX43,1/1/2025,1/1/2025,20250101,5101020102,,601006306,QA,40,200289
BX49,1/1/2025,1/1/2025,20250101,5101020102,,601006307,QA,40,714066
BX50,1/1/2025,1/1/2025,20250101,5101020102,,601006308,QA,40,206991
BX51,1/1/2025,1/1/2025,20250101,5101020102,,601006309,QA,40,45279
BX52,1/1/2025,1/1/2025,20250101,5101020102,,601006310,QA,40,90559
BX01,1/2/2025,1/2/2025,20250102,5101020102,,601006311,QA,40,6400765
