profit_center,nama_outlet,posting_date,account_no,gl_acct_long_text,text,doc_id,doc_type,debit,kredit
BX19,KF.0524 Banteng,3/17/2025,1107010301,Persediaan Barang Jadi,,640032997,QS,0,-203775
BX03,KF.0070,3/17/2025,1107010301,Persediaan Barang Jadi,,640032999,QS,0,-408482
BX13,KF.0406 Jamal,3/17/2025,1107010301,Persediaan Barang Jadi,,640033001,QS,0,-41015
BX34,KF Kusumanegara,3/15/2025,1107010301,Persediaan Barang Jadi,,640025488,QS,0,-26556
BX08,KF.0225,3/15/2025,1107010301,Persediaan Barang Jadi,,640025126,QS,0,-21746
BX08,KF.0225,3/15/2025,1107010301,Persediaan Barang Jadi,,640025147,QS,0,-21746
BX32,KF. Wonosari,3/15/2025,1107010301,Persediaan Barang Jadi,,640025248,QS,0,-197400
BX40,KF Jakal 3.5,3/15/2025,1107010301,Persediaan Barang Jadi,,640025404,QS,0,-45600
BX40,KF Jakal 3.5,3/13/2025,1107010301,Persediaan Barang Jadi,,640024931,QS,0,-42700
BX21,KF.0609 Tajem,3/13/2025,1107010301,Persediaan Barang Jadi,,640024932,QS,0,-687750
BX04,KF.0088,3/13/2025,1107010301,Persediaan Barang Jadi,,640024933,QS,0,-451200
BX25,KF PETANGPULUHAN,3/13/2025,1107010301,Persediaan Barang Jadi,,640024936,QS,0,-29549
BX21,KF.0609 Tajem,3/13/2025,1107010301,Persediaan Barang Jadi,,640024939,QS,0,-127205
BX40,KF Jakal 3.5,3/13/2025,1107010301,Persediaan Barang Jadi,,640024943,QS,0,-34289
BX40,KF Jakal 3.5,3/13/2025,1107010301,Persediaan Barang Jadi,,640024944,QS,0,-58548
BX04,KF.0088,3/13/2025,1107010301,Persediaan Barang Jadi,,640024946,QS,0,-846000
BX40,KF Jakal 3.5,3/13/2025,1107010301,Persediaan Barang Jadi,,640024949,QS,0,-208050
BX21,KF.0609 Tajem,3/13/2025,1107010301,Persediaan Barang Jadi,,640024952,QS,0,-232280
BX21,KF.0609 Tajem,3/13/2025,1107010301,Persediaan Barang Jadi,,640024954,QS,0,-375584
BX01,KF.0021,3/13/2025,1107010301,Persediaan Barang Jadi,,640024957,QS,0,-55683
BX40,KF Jakal 3.5,3/13/2025,1107010301,Persediaan Barang Jadi,,640024958,QS,0,-69500
BX21,KF.0609 Tajem,3/13/2025,1107010301,Persediaan Barang Jadi,,640024959,QS,0,-109011
BX36,KF Besi,3/17/2025,1107010301,Persediaan Barang Jadi,,640032955,QS,0,-95325
BX08,KF.0225,3/17/2025,1107010301,Persediaan Barang Jadi,,640032973,QS,0,-133380
BX07,KF.0207,3/17/2025,1107010301,Persediaan Barang Jadi,,640032974,QS,0,-158991
BX27,KF Meguwo,3/17/2025,1107010301,Persediaan Barang Jadi,,640032977,QS,0,-567226
BX36,KF Besi,3/17/2025,1107010301,Persediaan Barang Jadi,,640032983,QS,0,-224748
BX03,KF.0070,3/17/2025,1107010301,Persediaan Barang Jadi,,640032986,QS,0,-150850
BX01,KF.0021,3/17/2025,1107010301,Persediaan Barang Jadi,,640032991,QS,0,-62502
BX51,KF Sudirman Magelang,3/17/2025,1107010301,Persediaan Barang Jadi,,640032993,QS,0,-143653
BX01,KF.0021,3/13/2025,1107010301,Persediaan Barang Jadi,,640024945,QS,0,-163944
BX12,KF.0401 Seturan,3/14/2025,1107010301,Persediaan Barang Jadi,,640025038,QS,0,-163944
BX08,KF.0225,3/15/2025,1107010301,Persediaan Barang Jadi,,640025123,QS,0,-211500
BX21,KF.0609 Tajem,3/15/2025,1107010301,Persediaan Barang Jadi,,640025315,QS,0,-211500
BX21,KF.0609 Tajem,3/16/2025,1107010301,Persediaan Barang Jadi,,640027136,QS,0,-25650
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027146,QS,0,-25650
BX52,KF Jamal 5.5,3/20/2025,1107010301,Persediaan Barang Jadi,,640034911,QS,0,-25650
BX13,KF.0406 Jamal,3/15/2025,1107010301,Persediaan Barang Jadi,,640025132,QS,0,-53986
BX25,KF PETANGPULUHAN,3/15/2025,1107010301,Persediaan Barang Jadi,,640025344,QS,0,-53986
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027098,QS,0,-184712
BX08,KF.0225,3/15/2025,1107010301,Persediaan Barang Jadi,,640025206,QS,0,-37400
BX21,KF.0609 Tajem,3/15/2025,1107010301,Persediaan Barang Jadi,,640025300,QS,0,-67500
BX40,KF Jakal 3.5,3/15/2025,1107010301,Persediaan Barang Jadi,,640025469,QS,0,-67500
BX32,KF. Wonosari,3/15/2025,1107010301,Persediaan Barang Jadi,,640025284,QS,0,-112800
BX33,KF Titibumi,3/18/2025,1107010301,Persediaan Barang Jadi,,640032935,QS,0,-112800
BX01,KF.0021,3/17/2025,1107010301,Persediaan Barang Jadi,,640033004,QS,0,-112800
BX38,KF Prambanan,3/14/2025,1107010301,Persediaan Barang Jadi,,640025005,QS,0,-18145
BX12,KF.0401 Seturan,3/15/2025,1107010301,Persediaan Barang Jadi,,640025106,QS,0,-18145
BX40,KF Jakal 3.5,3/13/2025,1107010301,Persediaan Barang Jadi,,640024948,QS,0,-71450
BX32,KF. Wonosari,3/15/2025,1107010301,Persediaan Barang Jadi,,640025233,QS,0,-71450
BX29,KF. SIDOARUM,3/15/2025,1107010301,Persediaan Barang Jadi,,640025267,QS,0,-2197000
BX20,KF.0592 Wates,3/18/2025,1107010301,Persediaan Barang Jadi,,640032867,QS,0,-23412
BX22,KF.0610 Condong Cat,3/18/2025,1107010301,Persediaan Barang Jadi,,640032933,QS,0,-2197000
BX36,KF Besi,3/17/2025,1107010301,Persediaan Barang Jadi,,640032967,QS,0,-2197000
BX35,KF Bantul,3/15/2025,1107010301,Persediaan Barang Jadi,,640025434,QS,0,-68000
BX08,KF.0225,3/15/2025,1107010301,Persediaan Barang Jadi,,640025093,QS,0,-250800
BX41,KF Purwomartani,3/14/2025,1107010301,Persediaan Barang Jadi,,640024988,QS,0,-477320
BX03,KF.0070,3/6/2025,1107010301,Persediaan Barang Jadi,,640022563,QS,0,-45276
BX03,KF.0070,3/6/2025,1107010301,Persediaan Barang Jadi,,640022564,QS,0,-173500
BX12,KF.0401 Seturan,3/6/2025,1107010301,Persediaan Barang Jadi,,640022566,QS,0,-342004
BX34,KF Kusumanegara,3/6/2025,1107010301,Persediaan Barang Jadi,,640022574,QS,0,-134137
BX34,KF Kusumanegara,3/6/2025,1107010301,Persediaan Barang Jadi,,640022575,QS,0,-173911
BX40,KF Jakal 3.5,3/6/2025,1107010301,Persediaan Barang Jadi,,640022576,QS,0,-179256
BX40,KF Jakal 3.5,3/6/2025,1107010301,Persediaan Barang Jadi,,640022579,QS,0,-266070
BX43,KF Sugiyopranoto Won,3/6/2025,1107010301,Persediaan Barang Jadi,,640022581,QS,0,-270480
BX49,KF Kusmanto,3/14/2025,1107010301,Persediaan Barang Jadi,,640025001,QS,0,-1300000
BX35,KF Bantul,3/14/2025,1107010301,Persediaan Barang Jadi,,640025004,QS,0,-1300000
BX40,KF Jakal 3.5,3/15/2025,1107010301,Persediaan Barang Jadi,,640025387,QS,0,-1300000
BX20,KF.0592 Wates,3/18/2025,1107010301,Persediaan Barang Jadi,,640032882,QS,0,-6363
BX38,KF Prambanan,3/14/2025,1107010301,Persediaan Barang Jadi,,640025009,QS,0,-135800
BX21,KF.0609 Tajem,3/15/2025,1107010301,Persediaan Barang Jadi,,640025281,QS,0,-135800
BX20,KF.0592 Wates,3/18/2025,1107010301,Persediaan Barang Jadi,,640032878,QS,0,-36600
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027022,QS,0,-218291
BX10,KF.0316,3/16/2025,1107010301,Persediaan Barang Jadi,,640027027,QS,0,-417981
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027029,QS,0,-82294
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027031,QS,0,-500727
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027033,QS,0,-209190
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027035,QS,0,-153648
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027043,QS,0,-600518
BX25,KF PETANGPULUHAN,3/16/2025,1107010301,Persediaan Barang Jadi,,640027045,QS,0,-19637
BX35,KF Bantul,3/16/2025,1107010301,Persediaan Barang Jadi,,640027051,QS,0,-17000
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027054,QS,0,-1283937
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027060,QS,0,-56789
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027061,QS,0,-1958400
BX10,KF.0316,3/16/2025,1107010301,Persediaan Barang Jadi,,640027064,QS,0,-90614
BX12,KF.0401 Seturan,3/16/2025,1107010301,Persediaan Barang Jadi,,640027067,QS,0,-406801
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027069,QS,0,-290400
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027070,QS,0,-13309
BX38,KF Prambanan,3/16/2025,1107010301,Persediaan Barang Jadi,,640027072,QS,0,-20077
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027073,QS,0,-217561
BX27,KF Meguwo,3/16/2025,1107010301,Persediaan Barang Jadi,,640027077,QS,0,-134137
BX31,KF. Kota Gede,3/16/2025,1107010301,Persediaan Barang Jadi,,640027080,QS,0,-28458
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027083,QS,0,-198649
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027084,QS,0,-571941
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027085,QS,0,-105261
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027086,QS,0,-71605
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027093,QS,0,-46050
BX13,KF.0406 Jamal,3/16/2025,1107010301,Persediaan Barang Jadi,,640027096,QS,0,-93944
BX25,KF PETANGPULUHAN,3/16/2025,1107010301,Persediaan Barang Jadi,,640027099,QS,0,-55758
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027104,QS,0,-213654
BX07,KF.0207,3/16/2025,1107010301,Persediaan Barang Jadi,,640027107,QS,0,-71926
BX10,KF.0316,3/16/2025,1107010301,Persediaan Barang Jadi,,640027111,QS,0,-47918
BX35,KF Bantul,3/16/2025,1107010301,Persediaan Barang Jadi,,640027112,QS,0,-42636
BX13,KF.0406 Jamal,3/16/2025,1107010301,Persediaan Barang Jadi,,640027113,QS,0,-480476
BX09,KF.0275,3/16/2025,1107010301,Persediaan Barang Jadi,,640027114,QS,0,-124647
BX25,KF PETANGPULUHAN,3/16/2025,1107010301,Persediaan Barang Jadi,,640027116,QS,0,-240560
BX25,KF PETANGPULUHAN,3/16/2025,1107010301,Persediaan Barang Jadi,,640027120,QS,0,-33730
BX26,KF Sorosutan,3/16/2025,1107010301,Persediaan Barang Jadi,,640027121,QS,0,-155232
BX07,KF.0207,3/16/2025,1107010301,Persediaan Barang Jadi,,640027123,QS,0,-21059
BX13,KF.0406 Jamal,3/16/2025,1107010301,Persediaan Barang Jadi,,640027124,QS,0,-131920
BX01,KF.0021,3/16/2025,1107010301,Persediaan Barang Jadi,,640027128,QS,0,-294750
